RegionName,City_State,Price
77494,Katy (TX),504191.5215601761
8701,Lakewood (NJ),600765.8936118633
77449,Katy (TX),284335.6958600411
11368,New York (NY),463052.46502062056
77084,Houston (TX),277995.9477602433
79936,El Paso (TX),213579.76877325
11385,New York (NY),797909.8751463285
11208,New York (NY),674133.3210673688
90011,Los Angeles (CA),612342.0868847562
77433,Cypress (TX),437903.8554763724
60629,Chicago (IL),244377.9521942543
90650,Norwalk (CA),740975.1128403648
91331,Los Angeles (CA),730263.9618975474
37013,Nashville (TN),365147.9053106366
11236,New York (NY),649512.7878461755
10467,New York (NY),329038.3115045206
11373,New York (NY),474773.5364488645
11226,New York (NY),708131.224187844
11207,New York (NY),587492.4889032897
30044,Lawrenceville (GA),366771.1480111443
90044,Los Angeles (CA),642221.7092320174
92336,Fontana (CA),702858.4173494187
94565,Pittsburg (CA),600776.5327627513
92335,Fontana (CA),553939.898346185
90250,Hawthorne (CA),894809.9166619722
10025,New York (NY),1035492.260842509
75052,Grand Prairie (TX),338736.67212111055
90805,Long Beach (CA),698631.6230064301
11214,New York (NY),689531.8003101095
60618,Chicago (IL),487095.5592567388
93307,Bakersfield (CA),307407.0385528985
90280,South Gate (CA),680616.4280300451
11234,New York (NY),742343.2942598471
91342,Los Angeles (CA),799556.8185280814
92683,Westminster (CA),1044629.6999144696
10314,New York (NY),659667.5831096958
11220,New York (NY),643378.740181154
60639,Chicago (IL),292403.1351707064
78245,San Antonio (TX),270879.6950162688
11219,New York (NY),901097.166221677
92503,Riverside (CA),630347.4111690245
11206,New York (NY),846486.725299603
11221,New York (NY),906697.345605124
10456,New York (NY),384484.6039205261
92345,Hesperia (CA),438179.4007280499
77479,Sugar Land (TX),550573.579915599
91911,Chula Vista (CA),779463.6839983336
30043,Lawrenceville (GA),418034.10262707
11223,New York (NY),1005127.5719222948
11230,New York (NY),800197.6995712934
60647,Chicago (IL),493289.64494828
93033,Oxnard (CA),677190.9093515615
95076,Watsonville (CA),846724.587510596
92154,San Diego (CA),765374.6059410201
77429,Cypress (TX),385623.0954739052
10458,New York (NY),321210.803669371
92376,Rialto (CA),545123.9595430854
60804,Cicero (IL),248614.63119536973
11377,New York (NY),505197.3886478492
79938,El Paso (TX),244279.26963183403
92804,Anaheim (CA),895007.4396508519
91710,Chino (CA),761749.7337858755
93722,Fresno (CA),394604.5436455319
94112,San Francisco (CA),1113550.4889786425
11235,New York (NY),561233.7737434456
60632,Chicago (IL),259027.3683135385
77584,Pearland (TX),383669.37141211465
11229,New York (NY),730834.4589372274
95823,Sacramento (CA),439174.1931110226
60617,Chicago (IL),161662.41338573504
22193,Woodbridge (VA),485500.9869512315
11233,New York (NY),829900.0819721763
75217,Dallas (TX),214920.86491633547
10453,New York (NY),524290.2248075368
27587,Wake Forest (NC),526419.6278165323
77379,Spring (TX),372970.0864351669
11204,New York (NY),1044053.0831215044
37042,Clarksville (TN),277949.6546586052
30024,Suwanee (GA),621060.1255965614
10468,New York (NY),245647.188672584
95035,Milpitas (CA),1511000.385505521
60608,Chicago (IL),331996.3618503622
11355,New York (NY),544864.0796545661
92509,Jurupa Valley (CA),620347.1721912762
11203,New York (NY),694064.5610562766
93257,Porterville (CA),314180.8132327578
93550,Palmdale (CA),455488.1933479807
60625,Chicago (IL),363646.0289560137
10457,New York (NY),417239.170032159
92592,Temecula (CA),764530.4994808072
60623,Chicago (IL),194205.8866544148
95630,Folsom (CA),775216.3653510943
10452,New York (NY),257005.46483656208
28269,Charlotte (NC),368789.1087123456
94544,Hayward (CA),904015.1654380288
90706,Bellflower (CA),780786.2379744119
93535,Lancaster (CA),436553.986623582
77459,Missouri City (TX),404368.2939769828
10469,New York (NY),638059.8465805359
10029,New York (NY),705978.6413351255
92704,Santa Ana (CA),843889.7915468613
93274,Tulare (CA),341481.9375812236
11218,New York (NY),825911.250695553
75035,Frisco (TX),689423.7694176952
11212,New York (NY),604315.9192113244
10462,New York (NY),217557.8427084716
91335,Los Angeles (CA),819159.4086951503
27610,Raleigh (NC),331259.3796032646
60634,Chicago (IL),338100.7763739357
94533,Fairfield (CA),551707.3816104367
28027,Concord (NC),410874.1449829538
76244,Fort Worth (TX),399717.327107251
77083,Houston (TX),275227.06651350594
10002,New York (NY),931400.949747758
23464,Virginia Beach (VA),385402.1895603777
10466,New York (NY),607233.5523974133
11375,New York (NY),483495.49884888594
98052,Redmond (WA),1349742.0096490523
34953,Port Saint Lucie (FL),410996.888722685
33024,Pembroke Pines (FL),475767.5819597252
75002,Allen (TX),495821.2679147252
79912,El Paso (TX),296729.70946724835
93536,Lancaster (CA),539726.8364407545
91910,Chula Vista (CA),853110.8008077348
98012,Bothell (WA),1019717.8655983122
11691,New York (NY),638326.1065081935
30040,Cumming (GA),602496.980477919
93727,Fresno (CA),418181.822407807
89108,Las Vegas (NV),354959.1265849084
90003,Los Angeles (CA),598888.468926751
22191,Woodbridge (VA),464655.1810862616
92126,San Diego (CA),1032713.891894809
19120,Philadelphia (PA),158687.32491097966
30041,Cumming (GA),648365.7190807804
80013,Aurora (CO),504375.39983330976
11215,New York (NY),1312553.9301160723
75228,Dallas (TX),296821.187381151
20002,Washington (DC),667011.5815272881
37211,Nashville (TN),406695.490633233
60085,Waukegan (IL),201915.47769246064
76179,Fort Worth (TX),332134.26435637014
77407,Richmond (TX),395302.52693733695
60657,Chicago (IL),437241.9549019239
33025,Miramar (FL),416466.5043761918
10463,New York (NY),334137.44186589745
33311,Fort Lauderdale (FL),364098.8847821138
92553,Moreno Valley (CA),510141.8888487497
11209,New York (NY),712739.6384933488
93306,Bakersfield (CA),338122.275872485
80015,Centennial (CO),580465.2373620828
77095,Houston (TX),339269.75314060214
28277,Charlotte (NC),589791.4665234118
89031,North Las Vegas (NV),406275.7133448449
20906,Silver Spring (MD),441352.48076887726
95747,Roseville (CA),674951.0092034582
94536,Fremont (CA),1533403.9571313767
92563,Murrieta (CA),692555.0265863432
45011,Hamilton (OH),340575.6460601865
97229,Portland (OR),778610.0732969814
92105,San Diego (CA),704278.6515319884
60614,Chicago (IL),552632.2326087576
92021,El Cajon (CA),779121.661343663
91730,Rancho Cucamonga (CA),670640.748950218
60620,Chicago (IL),165372.86254351048
33023,Miramar (FL),453964.2969481796
94110,San Francisco (CA),1291960.9244084528
11213,New York (NY),912965.0601890336
94509,Antioch (CA),575120.0497021702
93065,Simi Valley (CA),849848.959796953
95687,Vacaville (CA),595010.8700589793
11201,New York (NY),1220989.545244633
92882,Corona (CA),778323.1694609361
19124,Philadelphia (PA),158477.74461685
94558,Napa (CA),946936.2232447318
94538,Fremont (CA),1387053.0333678173
91766,Pomona (CA),654296.869727855
92805,Anaheim (CA),826612.1889856883
